~~UID;Название;"Название на странице";Остаток;Цена;"Старая цена"
~~;"Рельсы широкой колеи"
~~;"Рельсы Р65"
00011763495;"Рельсы Р65 ДТ350, ОТ350 новые";"Рельсы Р65 Т1  ДТ350, ОТ350 новые";0;144000;0
00011763495_1_1;"Рельсы Р65 Т1 1-я группа износа до 3-х мм ";"Рельсы Р65 Т1 1-я группа износа до 3-х мм ";0;69000;0
00011763495_1;"Рельсы Р65 Т1 хранение";;0;115000;0
00011766108;"Рельсы Р65 Т1 старогодные";"Рельсы Р65 Т1 б/у";0;0;0
~~;"Рельсы Р50"
00011763495_1_1_1;"Рельсы Р50 Т1 хранение";"Рельсы P50 Т1";0;115000;0
00011763495_1_1_1_1;"Рельсы Р50 1-я гр. износа старогодные";;0;75000;0
00011766111;"Рельсы Р50 старогодные без износа";"Рельсы Р50 Т1 б/у";0;90000;0
00011766107;"Рельсы Р50 ОТ350 новые";"Рельсы Р50 ОТ350 новые";0;150000;0
~~;"Рельсы крановые"
~~;"Рельсы КР 70"
00011765976;"Рельсы крановые КР 70 хранение";;0;115000;0
00011765976_2;"Рельсы крановые КР70 б/у старогодный";;0;95000;0
00011765976_3;"Рельсы крановые КР 70 новый ГОСТ Р 53866-2010";;0;155000;0
00011765974_2;"Рельсы крановые КР70 новый ГОСТ 4121-96";"Рельсы КP 70";0;143000;0
~~;"Рельсы КР 80"
00011766062;"Рельсы крановые КР 80 хранение";;0;115000;0
00011766062_2;"Рельсы крановые КР 80 б/у старогодный";;0;95000;0
00011765974_1;"Рельсы крановые КР 80 ГОСТ53866-2010 новые";"Рельсы КР 80";0;149000;0
00011765974_2_1;"Рельсы крановые КР 80 ГОСТ4121-96 новый";"Рельсы КР 80";0;147000;0
~~;"Рельсы КР 100"
00011765974_1_1;"Рельсы крановые КР 100 ГОСТ 53866-2010 новые";"Рельсы КP 100</";0;147000;0
00011765974_1_2;"Рельсы крановые КР 100 ГОСТ 4121-96 новые";"Рельсы КP 100</";0;147000;0
00011765974_1_1_1;"Рельсы крановые КР 100 хранение";;0;115000;0
~~;"Рельсы КР 120"
00011766075;"Рельсы крановые КР 120 с хранения ";;0;115000;0
00011766075_1;"Рельсы крановые КР 120 старогодный без износа";;0;110000;0
00011766075_2;"Рельсы крановые КР 120 б/у старогодный с  минимальным износом";;0;95000;0
00011766071;"Рельсы крановые КР 120 новые ГОСТ53866-2010";"Рельсы крановые КР 120 новые ГОСТ53866-2010";0;147000;0
00011766071_1;"Рельсы крановые КР 120 новые ГОСТ4121-96";"Рельсы крановые КР 120 новые ГОСТ4121-96";0;147000;0
~~;"Рельсы КР 140"
00011766094;"Рельсы крановые КР 140 с/г";;0;130000;0
00011766081;"Рельсы крановые КР 140 новые";"Рельсы КР 140";0;160000;0
~~;"Рельсы узкоколейные"
00011779137;"Рельс Р24 хранение";;0;80000;0
00011763105_2;"Рельс Р24 новый ГОСТ 6368-82";"Рельсы Р24 новый мерная длина 8 м. ГОСТ 6368-82";0;139000;0
~~;"Рельсы Р8"
00011779120_3;"Рельс Р8 ГОСТ6368-82 новый";"Рельсы Р8 ГОСТ6368-82 новый";0;15000;0
~~;"Рельс Р12"
00011779120_4;"Рельс Р12 новый";"Рельсы Р12 новый";0;18000;0
~~;"Рельсы Р15"
00011779120_3_1;"Рельс Р15 новый";"Рельсы Р15 новый";0;3000;0
~~;"Рельсы Р18"
00011779104;"Рельс Р18 хранение";;0;0;0
00011779120_1;"Рельс Р18 старогодный";"Рельсы Р18 б/у";0;130000;0
00011779120_2;"Рельс Р18 ГОСТ6368-82 новый";"Рельсы Р18 ГОСТ6368-82 новый";0;175000;0
~~;"Рельсы Р24"
00011763105;"Рельс Р24 новый ГОСТ 6368-82";"Рельсы Р24 новый ГОСТ 6368-82";0;145000;0
00011763105_1;"Рельс Р24 старогодный с хранения  ГОСТ 6368-82";"Рельс Р24 старогодный с хранения  ГОСТ 6368-82";0;120000;0
00011763105_2_1;"Рельсы P24  восстановленные в антикоре";;0;95000;0
~~;"Рельсы Р33"
00011766100;"Рельс Р33 хранение";;0;0;0
00011766099_1;"Рельс Р33 новый ТУ 14-2Р-383-2004";"Рельсы Р33 новые ТУ 14-2Р-383-2004";0;150000;0
00011766101;"Рельс Р33 старогодный";"Рельсы Р33 б/у";0;0;0
~~;"Рельсы Р38"
00011974819;"Рельсы Р38 новый ";;0;149000;0
~~;"Рельсы Р43"
00011763105_1_1;"Рельс Р43 с хранения";"Рельс Р43";0;98000;0
